seed,map_size,obstacle_rate,map_mode,structured_type,start_goal_mode,start_row,start_col,goal_row,goal_col,heuristic,path_found,optimal,optimal_cost,path_length,expanded_nodes,runtime_seconds,skip_reason,mae,mse,rmse,underestimate_rate,overestimate_rate,large_underestimate_rate,large_overestimate_rate,max_overestimate
0,20,0.2,structured,large_block,random,11,13,7,10,unet,True,True,7,7,18,0.0001172500014945399,,1.0980961157480875,2.819082544428649,1.679012371731861,0.4053333333333333,0.5946666666666667,0.0,0.08266666666666667,7.925266265869141
1,20,0.2,structured,large_block,random,1,18,8,8,dijkstra,True,True,17,17,195,0.0004108749999431893,,10.27659574468085,126.01063829787235,11.225446017770178,0.9973404255319149,0.0,0.9335106382978723,0.0,0.0
1,20,0.2,structured,large_block,random,1,18,8,8,manhattan,True,True,17,17,88,0.00022529200214194134,,0.06382978723404255,0.1276595744680851,0.3572948005052482,0.031914893617021274,0.0,0.0,0.0,0.0
1,20,0.2,structured,large_block,random,1,18,8,8,mlp_table,True,True,17,17,20,0.00016095899991341867,,0.8293188804007591,1.0062460107616833,1.003118143969933,0.026595744680851064,0.9707446808510638,0.0,0.005319148936170213,3.482907295227051
1,20,0.2,structured,large_block,random,1,18,8,8,unet,True,True,17,17,68,0.0004338329999882262,,0.7093207362167379,1.1530748003019144,1.0738132054980114,0.5132978723404256,0.4867021276595745,0.0,0.023936170212765957,7.65766716003418
2,20,0.2,structured,large_block,random,4,16,6,18,dijkstra,True,True,4,4,37,8.445800267509185e-05,,14.479166666666666,257.5833333333333,16.04940289647354,0.9973958333333334,0.0,0.9453125,0.0,0.0
2,20,0.2,structured,large_block,random,4,16,6,18,manhattan,True,True,4,4,9,2.6290999812772498e-05,,0.14583333333333334,0.2916666666666667,0.5400617248673217,0.07291666666666667,0.0,0.0,0.0,0.0
2,20,0.2,structured,large_block,random,4,16,6,18,mlp_table,True,True,4,4,5,4.5625001803273335e-05,,1.024015278245012,1.6843912597303252,1.2978409994025946,0.013020833333333334,0.984375,0.0,0.033854166666666664,4.19432258605957
2,20,0.2,structured,large_block,random,4,16,6,18,unet,True,True,4,4,9,6.566700176335871e-05,,0.7727851397357881,1.0325160298423235,1.0161279593842123,0.6614583333333334,0.3385416666666667,0.0,0.0078125,4.294450759887695
0,20,0.3,structured,narrow_corridor,random,3,4,18,15,dijkstra,True,True,26,26,177,0.0003783330030273646,,16.108374384236452,322.8768472906404,17.968774228940614,0.9950738916256158,0.0,0.9261083743842364,0.0,0.0
0,20,0.3,structured,narrow_corridor,random,3,4,18,15,manhattan,True,True,26,26,55,0.00014604099851567298,,1.3793103448275863,13.241379310344827,3.638870609178736,0.1921182266009852,0.0,0.1477832512315271,0.0,0.0
0,20,0.3,structured,narrow_corridor,random,3,4,18,15,mlp_table,True,True,26,26,44,0.00028208300136611797,,2.0515879333900116,9.999556431836176,3.1622075251058677,0.2019704433497537,0.7931034482758621,0.14285714285714285,0.07881773399014778,4.320276260375977
0,20,0.3,structured,narrow_corridor,random,3,4,18,15,unet,True,True,26,26,92,0.0005133749982633162,,3.1172263816072436,15.843371429106895,3.980373277609387,0.22660098522167488,0.7684729064039408,0.09359605911330049,0.31527093596059114,10.571943283081055
1,20,0.3,structured,narrow_corridor,random,13,3,2,3,dijkstra,True,True,13,13,89,0.00020566599778248928,,15.995098039215685,317.2401960784314,17.811237915384527,0.9950980392156863,0.0,0.9068627450980392,0.0,0.0
1,20,0.3,structured,narrow_corridor,random,13,3,2,3,manhattan,True,True,13,13,36,9.779199899639934e-05,,1.1568627450980393,8.588235294117647,2.930569107548506,0.20588235294117646,0.0,0.13725490196078433,0.0,0.0
1,20,0.3,structured,narrow_corridor,random,13,3,2,3,mlp_table,True,True,13,13,14,0.00012195799718028866,,1.472980371877259,4.958702534313127,2.226814436434506,0.17647058823529413,0.8186274509803921,0.10784313725490197,0.029411764705882353,3.379995346069336
1,20,0.3,structured,narrow_corridor,random,13,3,2,3,unet,True,True,13,13,19,0.00014808400010224432,,2.1920405389631497,8.68623672065882,2.947242222936354,0.22549019607843138,0.7745098039215687,0.05392156862745098,0.19607843137254902,9.07833480834961
2,20,0.3,structured,narrow_corridor,random,5,4,6,4,dijkstra,True,True,1,1,5,1.4707999071106315e-05,,12.514851485148515,206.73267326732673,14.378201322395189,0.995049504950495,0.0,0.8910891089108911,0.0,0.0
2,20,0.3,structured,narrow_corridor,random,5,4,6,4,manhattan,True,True,1,1,2,6.542002665810287e-06,,0.7722772277227723,1.6237623762376239,1.2742693499561322,0.37623762376237624,0.0,0.009900990099009901,0.0,0.0
2,20,0.3,structured,narrow_corridor,random,5,4,6,4,mlp_table,True,True,1,1,2,1.912500010803342e-05,,1.2212711242165897,1.9762627252156628,1.4057961179401737,0.3069306930693069,0.6881188118811881,0.009900990099009901,0.009900990099009901,3.2625961303710938
2,20,0.3,structured,narrow_corridor,random,5,4,6,4,unet,True,True,1,1,2,1.6666999727021903e-05,,2.6546802143059156,12.74472621027889,3.569975659619949,0.09900990099009901,0.8960396039603961,0.0,0.39603960396039606,9.536401748657227
