seed,map_size,obstacle_rate,start_goal_mode,start_row,start_col,goal_row,goal_col,heuristic,path_found,optimal,optimal_cost,path_length,expanded_nodes,runtime_seconds,skip_reason,mae,mse,rmse,underestimate_rate,overestimate_rate,large_underestimate_rate,large_overestimate_rate,max_overestimate
25,20,0.1,random,16,2,0,17,dijkstra,True,True,31,31,352,0.0007279169985849876,,17.784313725490197,379.02240896358546,19.468497860995477,0.9971988795518207,0.0,0.9635854341736695,0.0,0.0
25,20,0.1,random,16,2,0,17,manhattan,True,True,31,31,212,0.0005817500004923204,,0.3137254901960784,1.2100840336134453,1.1000381964338535,0.10644257703081232,0.0,0.03081232492997199,0.0,0.0
25,20,0.1,random,16,2,0,17,mlp_table,True,True,31,31,102,0.0005800420003652107,,0.9953725668562561,1.6801094886044314,1.2961903751395594,0.0700280112044818,0.927170868347339,0.0028011204481792717,0.03081232492997199,3.9410762786865234
25,20,0.1,random,16,2,0,17,unet,True,True,31,31,169,0.0009453749989916105,,0.940828434225558,1.5469958758958307,1.2437828893725105,0.6498599439775911,0.35014005602240894,0.008403361344537815,0.03081232492997199,5.451042175292969
26,20,0.1,random,13,2,6,11,dijkstra,True,True,18,18,231,0.00047862500105111394,,11.855882352941176,168.38529411764705,12.976335928051764,0.9970588235294118,0.0,0.9529411764705882,0.0,0.0
26,20,0.1,random,13,2,6,11,manhattan,True,True,18,18,74,0.00017545899936521892,,0.9470588235294117,2.0352941176470587,1.4266373462261033,0.45588235294117646,0.0,0.01764705882352941,0.0,0.0
26,20,0.1,random,13,2,6,11,mlp_table,True,True,18,18,52,0.00028037499942001887,,1.000690656900406,1.3262462894435854,1.1516276696239915,0.39705882352941174,0.6,0.008823529411764706,0.0,2.633389472961426
26,20,0.1,random,13,2,6,11,unet,True,True,18,18,48,0.0002752920008788351,,0.742561256162384,0.8774101811157212,0.9367017567591732,0.6088235294117647,0.3911764705882353,0.0029411764705882353,0.0,2.9660301208496094
27,20,0.1,random,9,11,6,1,dijkstra,True,True,13,13,268,0.0005762919990957016,,14.60989010989011,257.3901098901099,16.043382121301914,0.9972527472527473,0.0,0.9532967032967034,0.0,0.0
27,20,0.1,random,9,11,6,1,manhattan,True,True,13,13,38,9.545799912302755e-05,,0.24725274725274726,0.5164835164835165,0.7186678763403277,0.12087912087912088,0.0,0.0027472527472527475,0.0,0.0
27,20,0.1,random,9,11,6,1,mlp_table,True,True,13,13,14,0.00011033400005544536,,1.0228050102244366,1.6650902345063945,1.2903837547436787,0.038461538461538464,0.9587912087912088,0.0027472527472527475,0.03021978021978022,4.19432258605957
27,20,0.1,random,9,11,6,1,unet,True,True,13,13,24,0.000156083000547369,,0.7845652740407776,1.0163956290612741,1.0081644851219835,0.5879120879120879,0.40934065934065933,0.0,0.01098901098901099,3.8835067749023438
28,20,0.1,random,11,6,17,0,dijkstra,True,True,12,12,227,0.0005030000011174707,,17.610644257703083,372.3053221288515,19.295215006028087,0.9971988795518207,0.0,0.957983193277311,0.0,0.0
28,20,0.1,random,11,6,17,0,manhattan,True,True,12,12,40,9.745800161908846e-05,,0.23529411764705882,0.6050420168067226,0.7778444682625972,0.10084033613445378,0.0,0.01680672268907563,0.0,0.0
28,20,0.1,random,11,6,17,0,mlp_table,True,True,12,12,16,0.00010891700003412552,,1.0177610147567022,1.9529705150424317,1.397487214625748,0.03361344537815126,0.9635854341736695,0.0,0.06162464985994398,4.667055130004883
28,20,0.1,random,11,6,17,0,unet,True,True,12,12,38,0.0002336249999643769,,0.8708418839785899,1.35016662353775,1.1619667050039557,0.6134453781512605,0.3865546218487395,0.0028011204481792717,0.03081232492997199,3.919464111328125
29,20,0.1,random,3,13,2,8,dijkstra,True,True,6,6,55,0.00012158299978182185,,12.937669376693767,205.33333333333334,14.329456840136451,0.997289972899729,0.0,0.9349593495934959,0.0,0.0
29,20,0.1,random,3,13,2,8,manhattan,True,True,6,6,8,2.5167000785586424e-05,,0.13008130081300814,0.2601626016260163,0.5100613704506707,0.06504065040650407,0.0,0.0,0.0,0.0
29,20,0.1,random,3,13,2,8,mlp_table,True,True,6,6,7,6.24999993306119e-05,,0.9683563373276212,1.3610164739005137,1.1666261071570934,0.01084010840108401,0.986449864498645,0.0,0.005420054200542005,3.482907295227051
29,20,0.1,random,3,13,2,8,unet,True,True,6,6,9,7.016700146778021e-05,,0.8152276754056212,0.9958697752531555,0.997932750867089,0.6205962059620597,0.3794037940379404,0.0,0.005420054200542005,3.3342113494873047
