seed,map_size,obstacle_rate,heuristic,path_found,optimal,optimal_cost,path_length,expanded_nodes,runtime_seconds,mae,mse,rmse,underestimate_rate,overestimate_rate,large_underestimate_rate,large_overestimate_rate,max_overestimate
13,20,0.2,dijkstra,True,True,38,38,297,0.0007155000002967427,21.65993265993266,534.1178451178451,23.11098970442082,0.9966329966329966,0.0,0.9730639730639731,0.0,0.0
13,20,0.2,manhattan,True,True,38,38,233,0.0005501249997905688,1.8316498316498318,13.090909090909092,3.6181361349331636,0.32323232323232326,0.0,0.25252525252525254,0.0,0.0
13,20,0.2,mlp_table,True,True,38,38,123,0.000659666000501602,1.4577389891300137,5.361551299615939,2.315502386009554,0.3569023569023569,0.6397306397306397,0.16498316498316498,0.0,2.82692813873291
13,20,0.2,unet,True,True,38,38,112,0.0006940000002941815,1.609933776084823,5.345389293014774,2.3120097951814076,0.31986531986531985,0.6801346801346801,0.016835016835016835,0.13804713804713806,9.455530166625977
14,20,0.2,dijkstra,True,True,38,38,325,0.0006567920008819783,19.806153846153848,458.9630769230769,21.423423557477385,0.9969230769230769,0.0,0.9723076923076923,0.0,0.0
14,20,0.2,manhattan,True,True,38,38,278,0.0006606659990211483,0.7753846153846153,3.076923076923077,1.7541160386140584,0.23076923076923078,0.0,0.12615384615384614,0.0,0.0
14,20,0.2,mlp_table,True,True,38,38,134,0.0006837499986431794,0.9880947351455689,1.8956354310035972,1.37682076938271,0.23384615384615384,0.7630769230769231,0.021538461538461538,0.021538461538461538,3.5638694763183594
14,20,0.2,unet,True,True,38,38,121,0.0006586250001419103,2.5698036549641534,14.476387051394125,3.804784757564365,0.14461538461538462,0.8553846153846154,0.012307692307692308,0.28615384615384615,12.145557403564453
15,20,0.2,dijkstra,True,True,38,38,329,0.0006700419999106089,20.06382978723404,457.13981762917933,21.38082827275827,0.9969604863221885,0.0,0.9848024316109423,0.0,0.0
15,20,0.2,manhattan,True,True,38,38,209,0.00048645800052327104,1.1428571428571428,4.279635258358662,2.068727932416117,0.3829787234042553,0.0,0.13069908814589665,0.0,0.0
