scope,map_size,structure_type,algorithm,cases,mean_expanded_nodes,median_expanded_nodes,optimality_rate,mean_path_cost_gap,mean_astar_search_seconds,mean_total_runtime_seconds,mean_expanded_nodes_saved_vs_manhattan,expansion_reduction_fraction_vs_manhattan,total_runtime_overhead_seconds_vs_manhattan,total_runtime_overhead_fraction_vs_manhattan,total_runtime_multiplier_vs_manhattan,astar_search_overhead_seconds_vs_manhattan,astar_search_multiplier_vs_manhattan
map_size,1000,,region_cache_patch_32,500,44790.888,4554.0,1.0,0.0,0.1567203225471603,0.689142846927396,37067.68200000001,0.4528259166999864,0.5119210142814263,2.888588875525705,3.888588875525705,-0.020501510098809378,0.8843172435770678
map_size,1000,,region_cache_patch_64,500,47765.886,8560.0,1.0,0.0,0.16129816197071342,0.6649385035018204,34092.68400000001,0.41648277022185953,0.4877166708558507,2.752012342802856,3.752012342802856,-0.01592367067525627,0.9101483692076108
map_size_structure,100,bottleneck,manhattan_astar,100,1695.29,1082.5,1.0,0.0,0.0025476920610526576,0.0025476920610526576,0.0,0.0,0.0,0.0,1.0,0.0,1.0
map_size_structure,100,bottleneck,full_map_unet_tiebreak,100,1153.03,357.5,1.0,0.0,0.008725820010004099,0.04923523917983402,542.26,0.3198626783618142,0.04668754711878136,18.32542787745351,19.32542787745351,0.006178127948951441,3.424990069796252
map_size_structure,100,bottleneck,region_cache_patch_32,100,1097.87,243.5,1.0,0.0,0.007247810316766845,0.11133584912022343,597.4200000000001,0.3523998843855624,0.10878815705917078,42.700669646166574,43.700669646166574,0.004700118255714187,2.844853358679537
map_size_structure,100,bottleneck,region_cache_patch_64,100,1100.74,283.5,1.0,0.0,0.005750270710486802,0.10080188709980575,594.55,0.3507069586914333,0.0982541950387531,38.565961931112014,39.565961931112014,0.0032025786494341447,2.2570509200829005
map_size_structure,100,large_block,manhattan_astar,100,1095.76,670.5,1.0,0.0,0.001669600829918636,0.001669600829918636,0.0,0.0,0.0,0.0,1.0,0.0,1.0
map_size_structure,100,large_block,full_map_unet_tiebreak,100,353.82,132.5,1.0,0.0,0.003361170450152713,0.024765520010550972,741.94,0.6771008249981748,0.023095919180632335,13.83319819130532,14.83319819130532,0.001691569620234077,2.0131581093646864
map_size_structure,100,large_block,region_cache_patch_32,100,300.81,99.5,1.0,0.0,0.0029196022319229087,0.03794126829998277,794.95,0.7254782069066219,0.036271667470064134,21.724754096960858,22.724754096960854,0.0012500014020042727,1.7486827866905101
map_size_structure,100,large_block,region_cache_patch_64,100,334.7,109.0,1.0,0.0,0.001890004890592536,0.045390572910328046,761.06,0.6945499014382711,0.04372097208040941,26.186482000335403,27.186482000335403,0.00022040406067389993,1.1320100330116876
map_size_structure,100,maze_like,manhattan_astar,100,69.22,6.0,1.0,0.0,9.26675098889973e-05,9.26675098889973e-05,0.0,0.0,0.0,0.0,1.0,0.0,1.0
