model,index,map_type,obstacle_rate,mae,mse,expanded_nodes,optimal,tie_top1_correct,tie_top1_total,high_impact_events,high_impact_unet_ordering_errors
expanded,4821,maze_like,0.1,0.9006707561057332,1.5030780074120764,20,True,18,18,0,0
expanded,4822,maze_like,0.1,1.580619987026154,3.818661770673607,11,True,10,10,0,0
expanded,4823,maze_like,0.1,1.0305648777459073,1.9355801791745744,14,True,0,0,0,0
expanded,4824,maze_like,0.1,1.6355830740273203,7.282335223706935,13,True,12,12,0,0
expanded,4825,maze_like,0.2,2.3751149837313026,12.60533698094955,13,True,9,9,0,0
expanded,4826,maze_like,0.2,1.2669430131261998,2.3868214474409353,15,True,13,13,0,0
expanded,4827,maze_like,0.2,1.523088122325086,6.061583021064394,12,True,11,11,0,0
expanded,4828,maze_like,0.2,1.2870672050088938,2.9234838770257823,17,True,14,14,0,0
expanded,4829,maze_like,0.2,0.825696142690797,1.0922697391208633,22,True,19,19,0,0
expanded,4830,maze_like,0.2,1.2936563538066272,3.051182465906907,34,True,28,30,0,0
expanded,4831,maze_like,0.2,1.0868722519071976,2.376357408052219,11,True,10,10,0,0
expanded,4832,maze_like,0.2,5.715739889300033,56.43969164998158,19,True,10,17,0,0
expanded,4833,maze_like,0.2,2.0449280949802335,10.958316681645266,11,True,9,9,0,0
expanded,4834,maze_like,0.2,1.2180364297123885,3.033526405570198,17,True,12,13,0,0
expanded,4835,maze_like,0.2,1.9044775379030672,8.032554695865612,14,True,13,13,0,0
expanded,4836,maze_like,0.2,1.174833353989982,2.5374192548427943,27,True,22,24,0,0
expanded,4837,maze_like,0.2,2.4623724023501077,12.066039300486915,2,True,0,0,0,0
expanded,4838,maze_like,0.2,3.123978253890728,22.3298724584898,13,True,11,11,0,0
expanded,4839,maze_like,0.2,2.334415479749441,12.881007232397605,12,True,11,11,0,0
expanded,4840,maze_like,0.2,1.1090880130728087,1.7830921185371296,21,True,18,18,0,0
expanded,4841,maze_like,0.2,1.441586655741524,5.567042086480996,33,True,26,26,0,0
expanded,4842,maze_like,0.2,1.1136112871011759,1.865313522663696,14,True,10,10,0,0
expanded,4843,maze_like,0.2,1.40492215493451,4.78143236444974,14,True,0,0,0,0
expanded,4844,maze_like,0.2,2.498474645143522,11.117738084183644,13,True,12,12,0,0
expanded,4845,maze_like,0.2,1.132345087134961,3.2602516609656305,22,True,19,19,0,0
expanded,4846,maze_like,0.2,0.9937391146503646,1.8198414480285452,13,True,12,12,0,0
expanded,4847,maze_like,0.2,1.7029291614890099,5.385360410345999,20,True,17,17,0,0
expanded,4848,maze_like,0.2,0.780563953150791,1.0160600844967078,12,True,9,9,0,0
expanded,4849,maze_like,0.2,1.4829082647104845,3.96409765045133,21,True,17,17,0,0
expanded,4850,maze_like,0.3,1.5557976919599525,3.8335171005083564,19,True,16,16,0,0
expanded,4851,maze_like,0.3,1.2203244060387104,2.900531580641028,20,True,17,18,0,0
expanded,4852,maze_like,0.3,0.6101994961500168,0.6021091786626979,2,True,0,0,0,0
expanded,4853,maze_like,0.3,1.8657893635250105,5.359975456186031,20,True,11,14,0,0
expanded,4854,maze_like,0.3,1.3964793846227121,3.524730844969135,12,True,11,11,0,0
expanded,4855,maze_like,0.3,1.5341496965956927,4.960381005706615,13,True,11,12,0,0
expanded,4856,maze_like,0.3,1.0357078033207108,2.0347547759855344,10,True,9,9,0,0
expanded,4857,maze_like,0.3,1.2368358157493256,3.1044195206513967,20,True,15,15,0,0
expanded,4858,maze_like,0.3,0.693832692861557,0.9744510127963364,17,True,11,11,0,0
expanded,4859,maze_like,0.3,1.095391659149483,2.103139468899621,12,True,11,11,0,0
expanded,4860,maze_like,0.3,1.4830669394948266,4.368350721680514,21,True,17,17,0,0
expanded,4861,maze_like,0.3,1.3149946358630327,2.6307651036779323,23,True,16,16,0,0
expanded,4862,maze_like,0.3,1.650786932871398,8.388735884751014,23,True,19,19,0,0
expanded,4863,maze_like,0.3,0.8877328801825344,1.7003292979961957,15,True,12,12,0,0
expanded,4864,maze_like,0.3,1.881673046387732,7.492743292147201,33,True,26,26,0,0
expanded,4865,maze_like,0.3,1.3534919090949706,2.882142609152267,10,True,9,9,0,0
expanded,4866,maze_like,0.3,0.6385105848312378,0.7386950509021566,2,True,0,0,0,0
expanded,4867,maze_like,0.3,1.366760271387471,4.075685774624229,15,True,10,10,0,0
expanded,4868,maze_like,0.3,0.7769003347002504,0.8877777456082657,27,True,23,23,0,0
expanded,4869,maze_like,0.3,1.5430342162469304,4.116376502328399,17,True,12,14,0,0
expanded,4870,maze_like,0.3,3.826181561695902,28.12202113782596,22,True,17,18,0,0
expanded,4871,maze_like,0.3,2.331493569720875,11.183466540855463,30,True,23,25,0,0
expanded,4872,maze_like,0.3,1.468458128856941,3.3848333495848055,34,True,30,30,0,0
expanded,4873,maze_like,0.3,1.400374475452635,3.8355350488044557,17,True,13,13,0,0
expanded,4874,maze_like,0.3,0.6803352116577087,0.7977760903422145,11,True,0,0,0,0
expanded,4875,maze_like,0.4,1.062471015956895,2.5993411513550706,37,True,25,30,0,0
expanded,4876,maze_like,0.4,0.9547805232030374,2.014231003742791,18,True,12,12,0,0
expanded,4877,maze_like,0.4,1.7313634495595436,7.4556741169196705,11,True,0,0,0,0
